n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
13,1,120.0,122.0,18.78,334.81,-17.7,40.47,121.65,0.0715,0.9699,25.23,152.59,301.64,SDA,1.0,0.0,SDA,1.65,,,9846,7,7,"2019,2020,2021,2022,2023,2024,2025",28.94,0.462,0.056,208.94,-7.04,antihelion,11.4
44,2,145.5,149.0,18.04,274.25,60.76,22.2,146.46,1.0075,0.6473,35.64,188.59,146.46,AUD,1.0,0.0,AUD,2.26,,,1493,7,7,"2019,2020,2021,2022,2023,2024,2025",26.1,0.275,0.336,137.19,82.9,north_toroidal,48.1
65,4,178.5,185.0,18.0,59.01,-63.57,23.86,183.43,0.9729,0.6883,37.57,21.86,3.42,M25S2,1.0,0.0,,,,,178,4,1,2025,-2.88,0.854,0.101,162.79,-75.48,antihelion,81.0
137,3,255.0,258.5,18.0,140.62,-51.09,41.57,257.73,0.9825,0.5808,74.59,353.47,77.73,EVE,0.81,0.19,,,LVL,4.78,1207,6,3,"2023,2024,2025",-2.0,0.341,0.23,274.09,-61.27,south_apex,46.4
35,2,286.5,290.0,18.0,138.05,8.22,46.28,288.81,0.0539,0.9937,37.52,153.4,108.81,KCA,0.952,0.0,,,OLS,0.7,176,7,7,"2020,2021,2022,2023,2024,2025,2026",11.08,0.256,0.17,209.08,-7.64,antihelion,11.9
30,1,12.0,14.0,17.29,297.2,41.08,42.52,13.19,0.9181,0.8655,72.03,145.84,13.19,ZCY,0.867,0.133,,,ZCY,0.78,278,8,4,"2021,2022,2023,2025",2.14,0.349,0.212,300.82,60.54,north_toroidal,15.3
53,2,94.5,98.0,17.29,215.06,55.69,14.01,97.13,1.0146,0.6236,19.83,174.08,97.14,,0.0,1.0,JBO,7.73,,,328,8,6,"2020,2021,2022,2023,2025,2026",3.17,0.287,1.0,79.95,64.11,north_toroidal,79.7
68,4,216.0,222.5,17.0,20.09,26.86,18.51,221.53,0.7471,0.7574,9.18,244.76,221.53,AND,0.857,0.143,AND,1.26,,,805,7,7,"2019,2020,2021,2022,2023,2024,2025",6.94,0.248,0.532,167.38,16.71,antihelion,36.3
22,1,70.5,72.5,17.0,327.6,38.35,54.18,71.29,0.9997,0.9062,100.2,165.98,71.29,,0.0,1.0,,,MCY,7.3,64,7,6,"2021,2022,2023,2024,2025,2026",3.7,0.219,0.969,277.18,47.19,north_toroidal,13.5
22,1,235.5,237.5,17.0,154.52,21.51,67.29,236.45,0.9841,0.6107,161.71,171.31,236.45,LEO,1.0,0.0,LEO,0.13,,,1110,7,7,"2019,2020,2021,2022,2023,2024,2025",134.0,0.308,0.067,272.18,10.12,north_apex,5.3
38,2,19.5,23.0,17.0,202.68,-15.07,26.49,20.82,0.4603,0.8032,4.99,101.99,200.79,OAV,1.0,0.0,,,OAV,0.84,916,8,3,"2019,2023,2026",0.7,0.397,0.366,186.25,-4.66,antihelion,14.5
22,1,264.0,266.0,17.0,192.62,-11.28,68.68,265.17,0.6443,0.9731,168.96,287.78,85.16,XVI,1.0,0.0,XVI,1.43,,,355,7,7,"2019,2020,2021,2022,2023,2024,2025",35.0,0.346,0.003,290.86,-5.24,south_apex,22.7
84,3,6.0,11.0,17.0,207.25,-19.15,29.87,9.68,0.2213,0.8273,11.66,135.92,189.67,,0.0,1.0,,,OAV,5.85,292,7,5,"2022,2023,2024,2025,2026",3.61,0.366,0.973,202.08,-7.66,antihelion,7.9
